level_reached,total_players,players_passed,completion_rate
1,21725,12512.0,57.59
2,12512,8089.0,64.65
3,8089,6443.0,79.65
4,6443,4672.0,72.51
5,4672,3479.0,74.46
6,3479,3108.0,89.34
7,3108,2768.0,89.06
8,2768,2271.0,82.04
9,2271,1957.0,86.17
10,1957,1714.0,87.58
11,1714,1512.0,88.21
12,1512,1287.0,85.12
13,1287,1174.0,91.22
14,1174,1044.0,88.93
15,1044,900.0,86.21
16,900,859.0,95.44
17,859,767.0,89.29
18,767,687.0,89.57
19,687,705.0,102.62
20,705,605.0,85.82
21,605,579.0,95.7
22,579,546.0,94.3
23,546,510.0,93.41
24,510,475.0,93.14
25,475,423.0,89.05
26,423,363.0,85.82
27,363,376.0,103.58
28,376,389.0,103.46
29,389,1752.0,450.39
30,1752,257.0,14.67
31,257,264.0,102.72
32,264,256.0,96.97
33,256,240.0,93.75
34,240,213.0,88.75
35,213,204.0,95.77
36,204,199.0,97.55
37,199,168.0,84.42
38,168,175.0,104.17
39,175,1095.0,625.71
40,1095,135.0,12.33
41,135,109.0,80.74
42,109,111.0,101.83
43,111,112.0,100.9
44,112,112.0,100.0
45,112,129.0,115.18
46,129,76.0,58.91
47,76,87.0,114.47
48,87,84.0,96.55
49,84,2462.0,2930.95
50,2462,0.0,0.0
